Year,Month,Day,Hour,OAT,DT,SLP,WD,WS,SKY,PPT,PPT6
2017,2,9,0,172,144,10177,180,72,8,0,10
2017,2,9,1,172,144,10173,170,46,-9999,0,-9999
2017,2,9,2,172,139,10173,170,62,-9999,0,-9999
2017,2,9,3,172,133,10175,180,77,-9999,0,-9999
2017,2,9,4,178,139,10176,-9999,31,-9999,0,-9999
2017,2,9,5,178,133,10178,170,88,-9999,0,-9999
2017,2,9,6,178,133,10179,170,77,8,0,-9999
2017,2,9,7,172,133,10179,170,77,-9999,0,-9999
2017,2,9,8,172,128,10179,180,62,-9999,0,-9999
2017,2,9,9,172,128,10172,180,67,-9999,0,-9999
2017,2,9,10,172,128,10161,180,82,-9999,0,-9999
2017,2,9,11,167,128,10152,160,62,-9999,0,-9999
2017,2,9,12,167,122,10152,190,67,8,0,-9999
2017,2,9,13,161,128,10143,160,62,-9999,0,-9999
2017,2,9,14,161,122,10138,150,67,-9999,0,-9999
2017,2,9,15,167,122,10133,160,62,-9999,3,-9999
2017,2,9,16,161,128,10127,140,46,-9999,15,-9999
2017,2,9,17,172,128,10126,160,103,-9999,-1,-9999
2017,2,9,18,161,133,10128,130,41,8,10,30
2017,2,9,19,161,133,10135,170,118,-9999,25,-9999
2017,2,9,20,161,133,10132,190,118,-9999,38,-9999
2017,2,9,21,161,133,10132,190,124,-9999,23,-9999
2017,2,9,22,161,128,10117,160,77,-9999,15,-9999
2017,2,9,23,156,139,10124,0,0,-9999,13,-9999
2017,2,10,0,161,133,10128,170,57,8,5,120
2017,2,10,1,161,128,10131,180,26,-9999,0,-9999
2017,2,10,2,150,122,10142,220,62,-9999,5,-9999
2017,2,10,3,150,122,10137,220,31,-9999,-1,-9999
2017,2,10,4,144,128,10138,290,21,-9999,10,-9999
2017,2,10,5,144,117,10144,230,36,-9999,0,-9999
2017,2,10,6,144,117,10146,220,36,6,0,20
2017,2,10,7,144,117,10151,200,36,-9999,0,-9999
2017,2,10,8,144,117,10148,260,41,-9999,0,-9999
2017,2,10,9,139,122,10149,150,15,-9999,5,-9999
2017,2,10,10,139,122,10151,150,21,-9999,8,-9999
2017,2,10,11,139,122,10149,230,21,-9999,3,-9999
2017,2,10,12,139,128,10149,150,15,8,-1,20
2017,2,10,13,139,128,10151,0,0,-9999,15,-9999
2017,2,10,14,139,117,10149,260,41,-9999,-1,-9999
2017,2,10,15,133,117,10155,300,31,-9999,0,-9999
2017,2,10,16,133,111,10163,230,15,-9999,0,-9999
2017,2,10,17,139,117,10166,0,0,-9999,0,-9999
2017,2,10,18,144,117,10169,270,46,8,0,20
2017,2,10,19,144,106,10175,280,46,-9999,0,-9999
2017,2,10,20,150,111,10175,290,41,2,0,-9999
2017,2,10,21,167,106,10166,290,57,-9999,0,-9999
2017,2,10,22,161,94,10164,260,62,-9999,0,-9999
2017,2,10,23,161,83,10167,290,62,-9999,0,-9999
2017,2,11,0,150,72,10172,280,57,6,0,-9999
2017,2,11,1,139,78,10176,270,51,-9999,0,-9999
2017,2,11,2,128,94,10176,280,41,-9999,0,-9999
2017,2,11,3,128,100,10182,280,46,-9999,0,-9999
2017,2,11,4,122,89,10187,300,51,-9999,0,-9999
2017,2,11,5,117,83,10194,280,36,4,0,-9999
2017,2,11,6,111,61,10199,280,88,4,0,-9999
2017,2,11,7,111,67,10203,280,82,4,0,-9999
2017,2,11,8,106,50,10209,280,82,4,0,-9999
2017,2,11,9,100,50,10211,280,67,4,0,-9999
2017,2,11,10,94,50,10211,280,51,2,0,-9999
2017,2,11,11,94,44,10211,280,51,2,0,-9999
2017,2,11,12,94,44,10213,290,51,4,0,-9999
2017,2,11,13,94,44,10217,320,36,4,0,-9999
2017,2,11,14,94,39,10221,330,21,4,0,-9999
2017,2,11,15,83,44,10224,0,0,2,0,-9999
2017,2,11,16,94,50,10228,-9999,15,2,0,-9999
2017,2,11,17,106,44,10233,310,21,2,0,-9999
2017,2,11,18,122,50,10236,20,15,2,0,-9999
2017,2,11,19,122,67,10241,360,36,2,0,-9999
2017,2,11,20,128,67,10238,20,26,2,0,-9999
2017,2,11,21,139,72,10232,300,41,2,0,-9999
2017,2,11,22,150,50,10225,270,57,2,0,-9999
2017,2,11,23,150,72,10221,280,51,2,0,-9999
2017,2,12,0,144,67,10220,270,62,2,0,-9999
2017,2,12,1,144,67,10219,270,57,0,0,-9999
2017,2,12,2,128,78,10223,280,72,0,0,-9999
2017,2,12,3,122,78,10226,270,57,0,0,-9999
2017,2,12,4,122,83,10227,270,57,0,0,-9999
2017,2,12,5,122,78,10230,290,51,0,0,-9999
2017,2,12,6,117,83,10232,280,51,0,0,-9999
2017,2,12,7,111,83,10229,270,36,0,0,-9999
2017,2,12,8,100,72,10233,300,31,0,0,-9999
2017,2,12,9,94,61,10234,0,0,0,0,-9999
2017,2,12,10,94,50,10232,0,0,0,0,-9999
2017,2,12,11,83,50,10232,0,0,0,0,-9999
2017,2,12,12,78,39,10231,0,0,0,0,-9999
2017,2,12,13,83,44,10230,0,0,0,0,-9999
2017,2,12,14,78,50,10231,0,0,0,0,-9999
2017,2,12,15,78,39,10233,290,15,-9999,0,-9999
2017,2,12,16,89,44,10241,270,15,-9999,0,-9999
2017,2,12,17,111,72,10244,340,15,-9999,0,-9999
2017,2,12,18,122,83,10247,60,15,2,0,-9999
2017,2,12,19,133,83,10248,30,15,-9999,0,-9999
2017,2,12,20,139,83,10239,70,15,-9999,0,-9999
2017,2,12,21,156,78,10228,0,0,-9999,0,-9999
2017,2,12,22,178,6,10219,0,0,-9999,0,-9999
2017,2,12,23,161,83,10216,280,77,-9999,0,-9999
